step_name,text,img,text_key_1,type_key_1,text_key_2,type_key_2,text_key_3,type_key_3,text_key_4,type_key_4
why_1,"Как 90% людей занимаются английским?
1. Созрела идея / Появилось вдохновение
2. Принял решение начать заниматься
3. Начал
4. Чем дальше, тем скучнее, мотивация падает
5. Включаем силу воли, продолжаем
6. Бросаем

Умение не терять мотивации и энтузиазма — это один из ключевых навыков, который мы поможем тебе освоить за время марафона.

Посмотри видео (15 минут) https://youtu.be/h5r4CvJa7cE?t=37
",,👍🏼Посмотрел,,,,,,,
why_2,"Есть десятки способов для поддержания мотивации, и в предстоящие дни мы расскажем о самых ключевых из них, чтобы максимально укрепить твою внутреннюю мотивацию, которая заставит тебя довести в этот раз дело до конца. 

СОВЕТ #2. ПОЙМИ, ЗАЧЕМ ТЕБЕ АНГЛИЙСКИЙ

Основа внутренней мотивации — понимание глубинных причин для чего ты это делаешь.

Ответь честно: зачем тебе английский? “Чтобы свободно на нем говорить” – не аргумент. Английский язык не самоцель. А вот “чтобы поразить того, кто мне нравится, идеальным произношением” – уже подходит! В этом случае твоя мотивация – восхищенное лицо друга. Помни о ней, выполняя упражнения.",,👍🏼 Отлично,,🤓 Угу,,,,,
why_3,"👉 СДЕЛАЙ ПРЯМО СЕЙЧАС:
1.Запиши, почему для тебя важно учить язык. Поделись с другими участниками марафона здесь: https://vk.com/topic-83727735_40829683
2. Найди свои отговорки и пойми, что с ними делать: https://meduza.io/slides/chto-meshaet-vam-vyuchit-angliyskiy

Чтобы ты не написал — наша цель сделать так, чтобы к концу марафона ты по-настоящему влюбился в изучение языка, потому что мы уверены, что сам процесс можно сделать весёлым и увлекательным. ",,👍🏼 Готово,,🤓 Не люблю такое,,,,,
why_4,"✅Done: Ежедневное задание марафона, по формированию привычки

А теперь приступай к выполнению “плана минимум”, который ты сам себе определил и займись английским. Помни! Сейчас важно не качество урока, а его регулярность, ведь мы формируем привычку. ",,👍🏼Сделал,,👎🏻Не хочу делать,,,,,
why_5,"✅Done: Ежедневное занятие английским

Мощно! Ты выполнил 100% ежедневного плана.

🎁Лови от меня очередной подарок👇🏻

💡ЛАЙФХАК ДНЯ. ИСПОЛЬЗУЙ УТРО
Утро — лучшее время для формирования новых привычек.",,👍🏼 Верно,,🤓 Почему?,,,,,
why_6,"Наша сила воли похожа на мускул и она истощается в течении дня. Любые решения, которые ты принимаешь в течении дня истощают твою внутреннюю батарейку. 

Она заряжается ночью, поэтому проще внедрять новые привычки утром, когда сила воли достигает своего пика.

😉 До встречи завтра на новом дне марафона ",,,,,,,,,
